# Region type : patch inlet
# Faces  :     460
# Area   :     7.5346137e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
1.54832e-05    	(4.9792731e-01 2.4535565e-06 -3.8517050e-01)	1.0030913e+05	2.9399955e+02	1.1859246e+00
1.58588e-05    	(5.1403752e-01 1.7501001e-06 -3.9762860e-01)	1.0031661e+05	2.9399953e+02	1.1860131e+00
1.62344e-05    	(5.3035137e-01 1.0211518e-06 -4.1025134e-01)	1.0032409e+05	2.9399950e+02	1.1861016e+00
1.66101e-05    	(5.4687143e-01 2.6067050e-07 -4.2304073e-01)	1.0033156e+05	2.9399947e+02	1.1861901e+00
1.69857e-05    	(5.6360030e-01 -5.2333021e-07 -4.3599788e-01)	1.0033904e+05	2.9399943e+02	1.1862786e+00
1.73613e-05    	(5.8054114e-01 -1.3039816e-06 -4.4912579e-01)	1.0034651e+05	2.9399940e+02	1.1863671e+00
1.7737e-05     	(5.9769022e-01 -2.0849006e-06 -4.6242108e-01)	1.0035398e+05	2.9399937e+02	1.1864556e+00
1.81126e-05    	(6.1504411e-01 -2.8492622e-06 -4.7588085e-01)	1.0036145e+05	2.9399933e+02	1.1865440e+00
1.84882e-05    	(6.3260874e-01 -3.6273399e-06 -4.8950837e-01)	1.0036892e+05	2.9399929e+02	1.1866325e+00
1.88639e-05    	(6.5038719e-01 -4.4170582e-06 -5.0330515e-01)	1.0037639e+05	2.9399926e+02	1.1867209e+00
1.92395e-05    	(6.6837688e-01 -5.1975303e-06 -5.1726971e-01)	1.0038385e+05	2.9399922e+02	1.1868093e+00
1.96151e-05    	(6.8657888e-01 -5.9432403e-06 -5.3140285e-01)	1.0039132e+05	2.9399917e+02	1.1868977e+00
1.99907e-05    	(7.0499344e-01 -6.6383248e-06 -5.4570470e-01)	1.0039878e+05	2.9399913e+02	1.1869861e+00
2.03664e-05    	(7.2361809e-01 -7.5183646e-06 -5.6017112e-01)	1.0040624e+05	2.9399909e+02	1.1870745e+00
2.0742e-05     	(7.4244621e-01 -8.5367918e-06 -5.7479860e-01)	1.0041369e+05	2.9399904e+02	1.1871629e+00
2.11176e-05    	(7.6146962e-01 -9.4709406e-06 -5.8958410e-01)	1.0042115e+05	2.9399899e+02	1.1872512e+00
2.14933e-05    	(7.8068769e-01 -1.0325047e-05 -6.0452512e-01)	1.0042860e+05	2.9399895e+02	1.1873395e+00
2.18689e-05    	(8.0009819e-01 -1.1160497e-05 -6.1962152e-01)	1.0043606e+05	2.9399890e+02	1.1874278e+00
2.22445e-05    	(8.1969412e-01 -1.1935934e-05 -6.3486829e-01)	1.0044351e+05	2.9399884e+02	1.1875161e+00
2.26202e-05    	(8.3946874e-01 -1.2590541e-05 -6.5025834e-01)	1.0045096e+05	2.9399879e+02	1.1876044e+00
2.29958e-05    	(8.5942088e-01 -1.3124740e-05 -6.6579222e-01)	1.0045840e+05	2.9399873e+02	1.1876927e+00
2.33714e-05    	(8.7954828e-01 -1.3526060e-05 -6.8146999e-01)	1.0046585e+05	2.9399868e+02	1.1877809e+00
2.3747e-05     	(8.9985464e-01 -1.3800027e-05 -6.9729707e-01)	1.0047329e+05	2.9399862e+02	1.1878691e+00
2.41227e-05    	(9.2032791e-01 -1.3965035e-05 -7.1326250e-01)	1.0048073e+05	2.9399856e+02	1.1879573e+00
2.44983e-05    	(9.4096032e-01 -1.4008298e-05 -7.2936114e-01)	1.0048817e+05	2.9399850e+02	1.1880455e+00
2.48739e-05    	(9.6174061e-01 -1.3998233e-05 -7.4557906e-01)	1.0049560e+05	2.9399843e+02	1.1881337e+00
