# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.0920062      	(2.8876150e+00 -2.4569173e-01 -2.5407756e+00)	1.9991768e+05	2.9396540e+02	2.3638407e+00
0.0920066      	(3.1247497e+00 -1.5088172e-01 -2.8636744e+00)	1.9992834e+05	2.9396989e+02	2.3639308e+00
0.092007       	(3.4565331e+00 -1.2672854e-01 -3.2342378e+00)	1.9993393e+05	2.9397224e+02	2.3639780e+00
0.0920073      	(3.8094220e+00 -1.4572719e-01 -3.6772567e+00)	1.9993318e+05	2.9397193e+02	2.3639717e+00
0.0920077      	(4.2543794e+00 -1.1568750e-01 -4.1095351e+00)	1.9992539e+05	2.9396866e+02	2.3639059e+00
0.0920081      	(4.7440105e+00 -8.6554617e-02 -4.5495573e+00)	1.9991045e+05	2.9396238e+02	2.3637797e+00
0.0920085      	(5.2477548e+00 -3.6457758e-02 -4.9790414e+00)	1.9988924e+05	2.9395346e+02	2.3636005e+00
0.0920089      	(5.7495614e+00 2.9143340e-02 -5.3948936e+00)	1.9986326e+05	2.9394254e+02	2.3633811e+00
0.0920093      	(6.2380568e+00 1.0435642e-01 -5.8025746e+00)	1.9983395e+05	2.9393022e+02	2.3631335e+00
0.0920096      	(6.7143376e+00 1.6011138e-01 -6.1917077e+00)	1.9980266e+05	2.9391706e+02	2.3628691e+00
0.09201        	(7.1609709e+00 2.4130364e-01 -6.5608497e+00)	1.9977063e+05	2.9390359e+02	2.3625985e+00
0.0920104      	(7.5794522e+00 3.2828722e-01 -6.8951320e+00)	1.9973906e+05	2.9389031e+02	2.3623317e+00
0.0920108      	(7.9621361e+00 4.0494040e-01 -7.1984912e+00)	1.9970899e+05	2.9387766e+02	2.3620776e+00
0.0920112      	(8.3167779e+00 4.7743075e-01 -7.4749917e+00)	1.9968092e+05	2.9386585e+02	2.3618404e+00
0.0920115      	(8.6362478e+00 5.4472207e-01 -7.7190833e+00)	1.9965544e+05	2.9385513e+02	2.3616250e+00
0.0920119      	(8.9392359e+00 6.1034863e-01 -7.9448960e+00)	1.9963258e+05	2.9384550e+02	2.3614317e+00
0.0920123      	(9.2244977e+00 6.6722560e-01 -8.1523291e+00)	1.9961270e+05	2.9383714e+02	2.3612638e+00
0.0920127      	(9.5067834e+00 7.1688698e-01 -8.3523610e+00)	1.9959553e+05	2.9382991e+02	2.3611186e+00
0.0920131      	(9.7804999e+00 7.6238465e-01 -8.5471041e+00)	1.9958147e+05	2.9382398e+02	2.3609997e+00
0.0920134      	(1.0043305e+01 8.0154740e-01 -8.7276081e+00)	1.9957073e+05	2.9381946e+02	2.3609090e+00
0.0920138      	(1.0295393e+01 8.2228426e-01 -8.8965169e+00)	1.9956345e+05	2.9381639e+02	2.3608474e+00
0.0920142      	(1.0509939e+01 8.2845361e-01 -9.0645327e+00)	1.9955995e+05	2.9381492e+02	2.3608178e+00
0.0920146      	(1.0710274e+01 8.1864767e-01 -9.1874986e+00)	1.9956086e+05	2.9381531e+02	2.3608255e+00
0.092015       	(1.0851469e+01 7.7967831e-01 -9.3006696e+00)	1.9956670e+05	2.9381776e+02	2.3608749e+00
0.0920153      	(1.0984594e+01 6.7621529e-01 -9.3638415e+00)	1.9957717e+05	2.9382217e+02	2.3609634e+00
0.0920157      	(1.1058737e+01 5.6020012e-01 -9.3854911e+00)	1.9959225e+05	2.9382852e+02	2.3610909e+00
0.0920161      	(1.1074152e+01 4.7648680e-01 -9.3507834e+00)	1.9961185e+05	2.9383678e+02	2.3612566e+00
