# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
1.32192e-06    	T              	2.9399497e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401058e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.35948e-06    	T              	2.9399474e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401098e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.39705e-06    	T              	2.9399450e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401138e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.43461e-06    	T              	2.9399427e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401177e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.47217e-06    	T              	2.9399403e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401216e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.50974e-06    	T              	2.9399379e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401254e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.5473e-06     	T              	2.9399355e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401293e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.58486e-06    	T              	2.9399330e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401331e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.62243e-06    	T              	2.9399306e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401369e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.65999e-06    	T              	2.9399281e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401406e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.69755e-06    	T              	2.9399256e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401443e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.73511e-06    	T              	2.9399230e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401480e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.77268e-06    	T              	2.9399205e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401517e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.81024e-06    	T              	2.9399179e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401553e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.8478e-06     	T              	2.9399153e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401589e+02	(-7.9377515e-03 2.7118474e-02 1.0150725e-02)	10
1.88537e-06    	T              	2.9399127e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401629e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
1.92293e-06    	T              	2.9399101e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401678e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
1.96049e-06    	T              	2.9399074e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401727e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
1.99806e-06    	T              	2.9399048e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401776e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.03562e-06    	T              	2.9399021e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401824e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.07318e-06    	T              	2.9398994e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401872e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.11074e-06    	T              	2.9398967e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401920e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
