# Region type : patch inlet
# Faces  :     286
# Area   :     1.5738454e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
1.66649e-05    	(2.8174011e+01 -8.5963796e-03 -2.4025430e+01)	1.0907843e+05	2.9317952e+02	1.2932043e+00
1.70696e-05    	(2.8465955e+01 -3.6944541e-03 -2.4274976e+01)	1.0906020e+05	2.9316274e+02	1.2930621e+00
1.74743e-05    	(2.8769780e+01 1.6885197e-03 -2.4534802e+01)	1.0904070e+05	2.9314497e+02	1.2929091e+00
1.78791e-05    	(2.9083115e+01 7.0334939e-03 -2.4802890e+01)	1.0902008e+05	2.9312634e+02	1.2927466e+00
1.82838e-05    	(2.9403891e+01 1.2544432e-02 -2.5077414e+01)	1.0899852e+05	2.9310699e+02	1.2925761e+00
1.86885e-05    	(2.9726488e+01 1.7692193e-02 -2.5353411e+01)	1.0897648e+05	2.9308726e+02	1.2924015e+00
1.90933e-05    	(3.0045918e+01 2.2069397e-02 -2.5626384e+01)	1.0895438e+05	2.9306748e+02	1.2922263e+00
1.9498e-05     	(3.0360065e+01 2.6414160e-02 -2.5894827e+01)	1.0893243e+05	2.9304782e+02	1.2920525e+00
1.99027e-05    	(3.0664744e+01 3.0915341e-02 -2.6155718e+01)	1.0891096e+05	2.9302852e+02	1.2918827e+00
2.03075e-05    	(3.0956114e+01 3.2789310e-02 -2.6405210e+01)	1.0889039e+05	2.9300991e+02	1.2917205e+00
2.07124e-05    	(3.1240689e+01 3.2731056e-02 -2.6648395e+01)	1.0887036e+05	2.9299172e+02	1.2915629e+00
2.11172e-05    	(3.1525330e+01 3.5159383e-02 -2.6891557e+01)	1.0885029e+05	2.9297349e+02	1.2914048e+00
2.1522e-05     	(3.1803917e+01 3.5890331e-02 -2.7129969e+01)	1.0883059e+05	2.9295556e+02	1.2912500e+00
2.19269e-05    	(3.2083604e+01 3.5901272e-02 -2.7369506e+01)	1.0881073e+05	2.9293749e+02	1.2910938e+00
2.23317e-05    	(3.2368402e+01 3.5992170e-02 -2.7613660e+01)	1.0879032e+05	2.9291901e+02	1.2909329e+00
2.27365e-05    	(3.2658107e+01 3.5352602e-02 -2.7862369e+01)	1.0876931e+05	2.9290006e+02	1.2907670e+00
2.31414e-05    	(3.2955573e+01 3.4463927e-02 -2.8117744e+01)	1.0874742e+05	2.9288044e+02	1.2905936e+00
2.35462e-05    	(3.3261694e+01 3.3457517e-02 -2.8380196e+01)	1.0872455e+05	2.9286005e+02	1.2904118e+00
2.3951e-05     	(3.3576799e+01 3.2094438e-02 -2.8649919e+01)	1.0870061e+05	2.9283884e+02	1.2902209e+00
2.43559e-05    	(3.3900927e+01 3.0678998e-02 -2.8927013e+01)	1.0867557e+05	2.9281678e+02	1.2900207e+00
2.47607e-05    	(3.4232032e+01 2.9265399e-02 -2.9209788e+01)	1.0864957e+05	2.9279397e+02	1.2898123e+00
2.51655e-05    	(3.4567991e+01 2.7877386e-02 -2.9496398e+01)	1.0862276e+05	2.9277053e+02	1.2895971e+00
2.55703e-05    	(3.4906331e+01 2.6563334e-02 -2.9784633e+01)	1.0859537e+05	2.9274665e+02	1.2893768e+00
2.59751e-05    	(3.5244336e+01 2.5425527e-02 -3.0072205e+01)	1.0856765e+05	2.9272250e+02	1.2891538e+00
2.63799e-05    	(3.5579024e+01 2.4415969e-02 -3.0356722e+01)	1.0853988e+05	2.9269831e+02	1.2889303e+00
2.67847e-05    	(3.5907238e+01 2.3441312e-02 -3.0635608e+01)	1.0851238e+05	2.9267431e+02	1.2887090e+00
2.71895e-05    	(3.6226566e+01 2.2554190e-02 -3.0906852e+01)	1.0848541e+05	2.9265072e+02	1.2884921e+00
2.75943e-05    	(3.6533801e+01 2.1814187e-02 -3.1167879e+01)	1.0845931e+05	2.9262781e+02	1.2882828e+00
2.79992e-05    	(3.6827203e+01 2.1203835e-02 -3.1417360e+01)	1.0843432e+05	2.9260574e+02	1.2880827e+00
2.84041e-05    	(3.7105622e+01 2.0779628e-02 -3.1654409e+01)	1.0841058e+05	2.9258465e+02	1.2878933e+00
2.8809e-05     	(3.7368297e+01 2.0243441e-02 -3.1878385e+01)	1.0838825e+05	2.9256463e+02	1.2877158e+00
2.92139e-05    	(3.7616015e+01 1.9775454e-02 -3.2089880e+01)	1.0836727e+05	2.9254565e+02	1.2875498e+00
2.96187e-05    	(3.7849439e+01 1.9465293e-02 -3.2289430e+01)	1.0834762e+05	2.9252771e+02	1.2873951e+00
3.00236e-05    	(3.8070509e+01 1.9121231e-02 -3.2478460e+01)	1.0832916e+05	2.9251068e+02	1.2872504e+00
3.04285e-05    	(3.8280945e+01 1.8673607e-02 -3.2658393e+01)	1.0831171e+05	2.9249444e+02	1.2871144e+00
3.08334e-05    	(3.8482756e+01 1.8160167e-02 -3.2831086e+01)	1.0829508e+05	2.9247882e+02	1.2869853e+00
3.12383e-05    	(3.8678597e+01 1.7668190e-02 -3.2998800e+01)	1.0827899e+05	2.9246363e+02	1.2868608e+00
3.16432e-05    	(3.8870236e+01 1.7117600e-02 -3.3163003e+01)	1.0826326e+05	2.9244871e+02	1.2867393e+00
3.20481e-05    	(3.9059210e+01 1.6571035e-02 -3.3324965e+01)	1.0824771e+05	2.9243393e+02	1.2866194e+00
3.2453e-05     	(3.9246051e+01 1.6047108e-02 -3.3485153e+01)	1.0823229e+05	2.9241925e+02	1.2865005e+00
3.2858e-05     	(3.9430424e+01 1.5430441e-02 -3.3643214e+01)	1.0821701e+05	2.9240467e+02	1.2863828e+00
3.32629e-05    	(3.9611446e+01 1.4733513e-02 -3.3798314e+01)	1.0820195e+05	2.9239027e+02	1.2862671e+00
3.36678e-05    	(3.9787346e+01 1.3963938e-02 -3.3948961e+01)	1.0818730e+05	2.9237618e+02	1.2861547e+00
3.40728e-05    	(3.9955452e+01 1.3071692e-02 -3.4092962e+01)	1.0817334e+05	2.9236262e+02	1.2860482e+00
3.44777e-05    	(4.0112084e+01 1.2030299e-02 -3.4227222e+01)	1.0816045e+05	2.9234989e+02	1.2859508e+00
3.48827e-05    	(4.0252921e+01 1.0857638e-02 -3.4348135e+01)	1.0814910e+05	2.9233834e+02	1.2858665e+00
3.52876e-05    	(4.0373281e+01 9.5451152e-03 -3.4451697e+01)	1.0813980e+05	2.9232839e+02	1.2857996e+00
3.56926e-05    	(4.0468861e+01 8.2150689e-03 -3.4534183e+01)	1.0813305e+05	2.9232040e+02	1.2857543e+00
3.60976e-05    	(4.0535668e+01 6.8395272e-03 -3.4592278e+01)	1.0812928e+05	2.9231472e+02	1.2857344e+00
3.65026e-05    	(4.0570226e+01 5.5827293e-03 -3.4623069e+01)	1.0812891e+05	2.9231166e+02	1.2857434e+00
3.69075e-05    	(4.0570825e+01 4.5573390e-03 -3.4625056e+01)	1.0813217e+05	2.9231142e+02	1.2857832e+00
3.73125e-05    	(4.0537939e+01 3.5369434e-03 -3.4598553e+01)	1.0813904e+05	2.9231396e+02	1.2858536e+00
3.77175e-05    	(4.0473699e+01 2.4600077e-03 -3.4545420e+01)	1.0814930e+05	2.9231914e+02	1.2859530e+00
3.81225e-05    	(4.0382015e+01 1.5602798e-03 -3.4468855e+01)	1.0816257e+05	2.9232663e+02	1.2860778e+00
3.85274e-05    	(4.0268285e+01 1.0974506e-03 -3.4373422e+01)	1.0817825e+05	2.9233600e+02	1.2862232e+00
3.89324e-05    	(4.0138692e+01 1.0087725e-03 -3.4264304e+01)	1.0819569e+05	2.9234673e+02	1.2863836e+00
3.93374e-05    	(3.9999832e+01 1.3529974e-03 -3.4147077e+01)	1.0821418e+05	2.9235827e+02	1.2865528e+00
3.97423e-05    	(3.9858257e+01 2.1824590e-03 -3.4027343e+01)	1.0823299e+05	2.9237006e+02	1.2867249e+00
4.01473e-05    	(3.9720041e+01 3.4689500e-03 -3.3910192e+01)	1.0825148e+05	2.9238160e+02	1.2868941e+00
4.05523e-05    	(3.9590736e+01 5.0390367e-03 -3.3800246e+01)	1.0826905e+05	2.9239242e+02	1.2870556e+00
4.09572e-05    	(3.9474634e+01 6.6861007e-03 -3.3701071e+01)	1.0828525e+05	2.9240219e+02	1.2872053e+00
4.13622e-05    	(3.9374768e+01 8.3284436e-03 -3.3615363e+01)	1.0829973e+05	2.9241062e+02	1.2873406e+00
4.17672e-05    	(3.9292807e+01 9.9209844e-03 -3.3544505e+01)	1.0831234e+05	2.9241761e+02	1.2874598e+00
4.21722e-05    	(3.9228968e+01 1.1422817e-02 -3.3488736e+01)	1.0832304e+05	2.9242312e+02	1.2875629e+00
4.25771e-05    	(3.9181946e+01 1.2785776e-02 -3.3447151e+01)	1.0833195e+05	2.9242725e+02	1.2876508e+00
4.29821e-05    	(3.9149663e+01 1.3962405e-02 -3.3418114e+01)	1.0833929e+05	2.9243016e+02	1.2877253e+00
4.33871e-05    	(3.9129630e+01 1.4920406e-02 -3.3399545e+01)	1.0834532e+05	2.9243206e+02	1.2877886e+00
4.37921e-05    	(3.9119310e+01 1.5591022e-02 -3.3389424e+01)	1.0835029e+05	2.9243315e+02	1.2878431e+00
4.41971e-05    	(3.9116094e+01 1.6020471e-02 -3.3385693e+01)	1.0835449e+05	2.9243363e+02	1.2878908e+00
4.4602e-05     	(3.9117721e+01 1.6267738e-02 -3.3386538e+01)	1.0835813e+05	2.9243368e+02	1.2879339e+00
4.5007e-05     	(3.9122146e+01 1.6390627e-02 -3.3390170e+01)	1.0836145e+05	2.9243349e+02	1.2879743e+00
4.5412e-05     	(3.9128093e+01 1.6391708e-02 -3.3395449e+01)	1.0836459e+05	2.9243315e+02	1.2880131e+00
4.5817e-05     	(3.9135116e+01 1.6300028e-02 -3.3401967e+01)	1.0836761e+05	2.9243273e+02	1.2880509e+00
4.6222e-05     	(3.9143501e+01 1.6120241e-02 -3.3409927e+01)	1.0837049e+05	2.9243219e+02	1.2880875e+00
4.6627e-05     	(3.9153913e+01 1.5892434e-02 -3.3419819e+01)	1.0837317e+05	2.9243151e+02	1.2881225e+00
4.70319e-05    	(3.9167375e+01 1.5637608e-02 -3.3432431e+01)	1.0837555e+05	2.9243059e+02	1.2881548e+00
4.74369e-05    	(3.9185051e+01 1.5351442e-02 -3.3448669e+01)	1.0837751e+05	2.9242934e+02	1.2881836e+00
4.78419e-05    	(3.9208301e+01 1.5048342e-02 -3.3469614e+01)	1.0837890e+05	2.9242765e+02	1.2882075e+00
4.82469e-05    	(3.9238598e+01 1.4729907e-02 -3.3496518e+01)	1.0837956e+05	2.9242541e+02	1.2882253e+00
4.86519e-05    	(3.9277298e+01 1.4330224e-02 -3.3530430e+01)	1.0837935e+05	2.9242250e+02	1.2882357e+00
4.90569e-05    	(3.9325280e+01 1.3880809e-02 -3.3572057e+01)	1.0837818e+05	2.9241883e+02	1.2882379e+00
4.94618e-05    	(3.9382781e+01 1.3407454e-02 -3.3621624e+01)	1.0837599e+05	2.9241439e+02	1.2882315e+00
4.98668e-05    	(3.9449283e+01 1.2939634e-02 -3.3678677e+01)	1.0837285e+05	2.9240920e+02	1.2882169e+00
5.02718e-05    	(3.9524419e+01 1.2431437e-02 -3.3742920e+01)	1.0836876e+05	2.9240329e+02	1.2881944e+00
5.06768e-05    	(3.9607398e+01 1.1889395e-02 -3.3813659e+01)	1.0836383e+05	2.9239672e+02	1.2881646e+00
5.10818e-05    	(3.9697267e+01 1.1293227e-02 -3.3890015e+01)	1.0835813e+05	2.9238957e+02	1.2881283e+00
5.14868e-05    	(3.9792824e+01 1.0693133e-02 -3.3970982e+01)	1.0835180e+05	2.9238192e+02	1.2880866e+00
5.18918e-05    	(3.9892850e+01 1.0112542e-02 -3.4055575e+01)	1.0834495e+05	2.9237387e+02	1.2880406e+00
5.22967e-05    	(3.9995988e+01 9.5820738e-03 -3.4142665e+01)	1.0833773e+05	2.9236554e+02	1.2879914e+00
5.27017e-05    	(4.0100755e+01 9.1657131e-03 -3.4231013e+01)	1.0833031e+05	2.9235704e+02	1.2879404e+00
5.31067e-05    	(4.0205655e+01 8.8798785e-03 -3.4319394e+01)	1.0832283e+05	2.9234851e+02	1.2878890e+00
5.35117e-05    	(4.0309422e+01 8.7241633e-03 -3.4406786e+01)	1.0831544e+05	2.9234004e+02	1.2878383e+00
5.39167e-05    	(4.0410870e+01 8.6951599e-03 -3.4492237e+01)	1.0830826e+05	2.9233174e+02	1.2877894e+00
5.43217e-05    	(4.0508991e+01 8.7874674e-03 -3.4574944e+01)	1.0830141e+05	2.9232369e+02	1.2877433e+00
5.47266e-05    	(4.0603046e+01 8.9958713e-03 -3.4654339e+01)	1.0829496e+05	2.9231595e+02	1.2877007e+00
5.51316e-05    	(4.0692460e+01 9.2973139e-03 -3.4729972e+01)	1.0828899e+05	2.9230858e+02	1.2876620e+00
5.55366e-05    	(4.0776966e+01 9.6454153e-03 -3.4801624e+01)	1.0828353e+05	2.9230160e+02	1.2876277e+00
5.59416e-05    	(4.0856781e+01 1.0038982e-02 -3.4869525e+01)	1.0827855e+05	2.9229500e+02	1.2875976e+00
5.63466e-05    	(4.0932370e+01 1.0454474e-02 -3.4934057e+01)	1.0827402e+05	2.9228873e+02	1.2875711e+00
5.67516e-05    	(4.1004337e+01 1.0859660e-02 -3.4995713e+01)	1.0826986e+05	2.9228276e+02	1.2875479e+00
5.71566e-05    	(4.1073411e+01 1.1210673e-02 -3.5055094e+01)	1.0826600e+05	2.9227703e+02	1.2875272e+00
5.75615e-05    	(4.1140418e+01 1.1477337e-02 -3.5112900e+01)	1.0826235e+05	2.9227145e+02	1.2875083e+00
5.79665e-05    	(4.1206306e+01 1.1648421e-02 -3.5169904e+01)	1.0825881e+05	2.9226596e+02	1.2874903e+00
