=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.09 16:50:46 =~=~=~=~=~=~=~=~=~=~=~=
196966.03,283.50,98497.33,298.34
197771.48,283.42,98497.33,298.34
196363.63,283.56,98209.09,298.41
195362.92,283.67,98689.95,298.30
195962.84,283.61,98017.41,298.45
196966.03,283.50,98882.95,298.25
196966.03,283.50,97539.80,298.56
196966.03,283.50,97730.57,298.52
198175.20,283.38,98497.33,298.34
196966.03,283.50,98113.20,298.43
196564.28,283.54,98017.41,298.45
198175.20,283.38,98593.60,298.32
196163.19,283.58,98497.33,298.34
195762.72,283.63,98497.33,298.34
195562.72,283.65,98497.33,298.34
194366.19,283.77,98401.16,298.36
195962.84,283.61,98593.60,298.32
195962.84,283.61,98401.16,298.36
197569.86,283.44,97444.55,298.58
195762.72,283.63,96969.70,298.69
197569.86,283.44,97826.08,298.49
197771.48,283.42,98497.33,298.34
196765.06,283.52,98497.33,298.34
195562.72,283.65,98401.16,298.36
195562.72,283.65,98497.33,298.34
196564.28,283.54,98497.33,298.34
198781.97,283.32,98497.33,298.34
195962.84,283.61,98497.33,298.34
196765.06,283.52,98401.16,298.36
196966.03,283.50,99561.41,298.10
198377.28,283.36,98305.08,298.38
198175.20,283.38,98497.33,298.34
198175.20,283.38,99464.20,298.12
197771.48,283.42,97444.55,298.58
196163.19,283.58,98497.33,298.34
196765.06,283.52,98497.33,298.34
195562.72,283.65,98401.16,298.36
196966.03,283.50,98497.33,298.34
195762.72,283.63,98305.08,298.38
195762.72,283.63,97826.08,298.49
196966.03,283.50,98401.16,298.36
195962.84,283.61,97826.08,298.49
195762.72,283.63,98209.09,298.41
197368.44,283.46,98401.16,298.36
196966.03,283.50,98017.41,298.45
195362.92,283.67,98401.16,298.36
195362.92,283.67,98305.08,298.38
195562.72,283.65,98497.33,298.34
195562.72,283.65,97826.08,298.49
195562.72,283.65,98401.16,298.36
196163.19,283.58,98017.41,298.45
195962.84,283.61,98497.33,298.34
197368.44,283.46,97539.80,298.56
195562.72,283.65,98209.09,298.41
196966.03,283.50,98113.20,298.43
197771.48,283.42,97444.55,298.58
199390.25,283.25,98497.33,298.34
200611.27,283.13,98305.08,298.38
196966.03,283.50,98209.09,298.41
195962.84,283.61,97921.71,298.47
196564.28,283.54,98401.16,298.36
197368.44,283.46,98017.41,298.45
194764.39,283.73,97539.80,298.56
195962.84,283.61,97539.80,298.56
196564.28,283.54,98017.41,298.45
195562.72,283.65,98305.08,298.38
197368.44,283.46,98786.41,298.27
196564.28,283.54,98305.08,298.38
198377.28,283.36,98305.08,298.38
197973.23,283.40,98497.33,298.34
195562.72,283.65,97539.80,298.56
195962.84,283.61,98209.09,298.41
196966.03,283.50,97539.80,298.56
198781.97,283.32,98593.60,298.32
198984.58,283.29,98497.33,298.34
197771.48,283.42,98497.33,298.34
197368.44,283.46,98786.41,298.27
198175.20,283.38,98305.08,298.38
198984.58,283.29,98497.33,298.34
197569.86,283.44,98209.09,298.41
198175.20,283.38,97635.14,298.54
197368.44,283.46,98497.33,298.34
196564.28,283.54,98497.33,298.34
198175.20,283.38,97635.14,298.54
195762.72,283.63,98017.41,298.45
195762.72,283.63,98305.08,298.38
197569.86,283.44,98497.33,298.34
