# Region type : patch inlet
# Faces  :     285
# Area   :     1.5850195e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.1000000e+05	2.9400000e+02	1.3004948e+00
4.82697e-07    	(1.7232924e+01 -1.2943841e-01 -1.4696441e+01)	1.0959490e+05	2.9368684e+02	1.2970863e+00
8.85764e-07    	(1.8056237e+01 -1.5290596e-01 -1.5277423e+01)	1.0958458e+05	2.9367624e+02	1.2970116e+00
1.28883e-06    	(1.8094261e+01 -1.8089857e-01 -1.5290645e+01)	1.0959026e+05	2.9367782e+02	1.2970718e+00
1.6919e-06     	(1.8415683e+01 -1.9641390e-01 -1.5574580e+01)	1.0957935e+05	2.9366671e+02	1.2969918e+00
2.09497e-06    	(1.9183300e+01 -1.3888089e-01 -1.6120443e+01)	1.0954465e+05	2.9363735e+02	1.2967106e+00
2.28068e-06    	(1.9380742e+01 -1.7152635e-01 -1.6259413e+01)	1.0953634e+05	2.9362972e+02	1.2966460e+00
2.4664e-06     	(1.9557503e+01 -1.6519697e-01 -1.6411457e+01)	1.0952817e+05	2.9362218e+02	1.2965824e+00
2.65212e-06    	(1.9864050e+01 -1.6120828e-01 -1.6663190e+01)	1.0951341e+05	2.9360960e+02	1.2964633e+00
2.83785e-06    	(2.0249213e+01 -1.6270740e-01 -1.6977126e+01)	1.0949426e+05	2.9359364e+02	1.2963070e+00
3.02358e-06    	(2.0618209e+01 -1.5284496e-01 -1.7238396e+01)	1.0947428e+05	2.9357705e+02	1.2961436e+00
3.20931e-06    	(2.1087193e+01 -1.6906819e-01 -1.7619057e+01)	1.0944994e+05	2.9355712e+02	1.2959433e+00
3.39504e-06    	(2.1414036e+01 -1.8249078e-01 -1.7913014e+01)	1.0943237e+05	2.9354236e+02	1.2958002e+00
3.58079e-06    	(2.1807772e+01 -1.8661822e-01 -1.8237225e+01)	1.0941118e+05	2.9352484e+02	1.2956266e+00
3.76653e-06    	(2.2212809e+01 -1.9543125e-01 -1.8572635e+01)	1.0938918e+05	2.9350669e+02	1.2954461e+00
3.95227e-06    	(2.2636172e+01 -2.0454057e-01 -1.8924824e+01)	1.0936579e+05	2.9348747e+02	1.2952538e+00
4.13801e-06    	(2.3079359e+01 -2.1247661e-01 -1.9292352e+01)	1.0934082e+05	2.9346703e+02	1.2950481e+00
4.32376e-06    	(2.3533765e+01 -2.1878421e-01 -1.9671758e+01)	1.0931462e+05	2.9344566e+02	1.2948320e+00
4.5095e-06     	(2.3997818e+01 -2.2525181e-01 -2.0060645e+01)	1.0928726e+05	2.9342338e+02	1.2946060e+00
4.69524e-06    	(2.4457814e+01 -2.3036376e-01 -2.0446449e+01)	1.0925946e+05	2.9340076e+02	1.2943764e+00
4.881e-06      	(2.4909440e+01 -2.3493862e-01 -2.0826785e+01)	1.0923152e+05	2.9337803e+02	1.2941455e+00
5.06679e-06    	(2.5347235e+01 -2.3886554e-01 -2.1196501e+01)	1.0920380e+05	2.9335546e+02	1.2939164e+00
5.25257e-06    	(2.5768334e+01 -2.4314730e-01 -2.1552622e+01)	1.0917654e+05	2.9333324e+02	1.2936912e+00
5.43835e-06    	(2.6173763e+01 -2.4831168e-01 -2.1895846e+01)	1.0914974e+05	2.9331137e+02	1.2934698e+00
5.62413e-06    	(2.6565041e+01 -2.5435010e-01 -2.2227137e+01)	1.0912332e+05	2.9328978e+02	1.2932517e+00
5.80991e-06    	(2.6943516e+01 -2.6159541e-01 -2.2546276e+01)	1.0909731e+05	2.9326851e+02	1.2930370e+00
5.99569e-06    	(2.7308735e+01 -2.6942425e-01 -2.2852958e+01)	1.0907182e+05	2.9324762e+02	1.2928267e+00
6.18147e-06    	(2.7660044e+01 -2.7766936e-01 -2.3147498e+01)	1.0904692e+05	2.9322719e+02	1.2926213e+00
6.36725e-06    	(2.7998689e+01 -2.8667626e-01 -2.3432110e+01)	1.0902254e+05	2.9320714e+02	1.2924203e+00
6.55304e-06    	(2.8327023e+01 -2.9609186e-01 -2.3708545e+01)	1.0899850e+05	2.9318737e+02	1.2922223e+00
6.73885e-06    	(2.8648519e+01 -3.0603170e-01 -2.3979042e+01)	1.0897460e+05	2.9316768e+02	1.2920252e+00
6.92463e-06    	(2.8964220e+01 -3.1700054e-01 -2.4244470e+01)	1.0895075e+05	2.9314803e+02	1.2918287e+00
7.11041e-06    	(2.9272321e+01 -3.2877376e-01 -2.4503655e+01)	1.0892711e+05	2.9312854e+02	1.2916339e+00
7.29619e-06    	(2.9571822e+01 -3.4094922e-01 -2.4755981e+01)	1.0890378e+05	2.9310929e+02	1.2914417e+00
7.48197e-06    	(2.9863022e+01 -3.5311561e-01 -2.5001829e+01)	1.0888075e+05	2.9309026e+02	1.2912520e+00
7.66775e-06    	(3.0147110e+01 -3.6537972e-01 -2.5241705e+01)	1.0885797e+05	2.9307141e+02	1.2910644e+00
7.85352e-06    	(3.0425935e+01 -3.7772956e-01 -2.5476916e+01)	1.0883534e+05	2.9305268e+02	1.2908781e+00
8.0393e-06     	(3.0698288e+01 -3.9002742e-01 -2.5706657e+01)	1.0881300e+05	2.9303417e+02	1.2906942e+00
8.22508e-06    	(3.0963341e+01 -4.0195582e-01 -2.5929967e+01)	1.0879109e+05	2.9301599e+02	1.2905139e+00
8.41086e-06    	(3.1221239e+01 -4.1338733e-01 -2.6146910e+01)	1.0876962e+05	2.9299814e+02	1.2903374e+00
8.59664e-06    	(3.1472654e+01 -4.2416320e-01 -2.6358241e+01)	1.0874857e+05	2.9298061e+02	1.2901643e+00
8.69667e-06    	(3.1606089e+01 -4.2977980e-01 -2.6470230e+01)	1.0873735e+05	2.9297126e+02	1.2900721e+00
8.79669e-06    	(3.1738561e+01 -4.3531134e-01 -2.6581280e+01)	1.0872618e+05	2.9296195e+02	1.2899804e+00
8.89672e-06    	(3.1869985e+01 -4.4071598e-01 -2.6691340e+01)	1.0871508e+05	2.9295269e+02	1.2898892e+00
8.99674e-06    	(3.2000204e+01 -4.4601655e-01 -2.6800286e+01)	1.0870406e+05	2.9294349e+02	1.2897987e+00
9.09677e-06    	(3.2129154e+01 -4.5123530e-01 -2.6908072e+01)	1.0869313e+05	2.9293436e+02	1.2897089e+00
9.19679e-06    	(3.2256834e+01 -4.5642507e-01 -2.7014728e+01)	1.0868229e+05	2.9292530e+02	1.2896200e+00
9.29682e-06    	(3.2383264e+01 -4.6163550e-01 -2.7120286e+01)	1.0867154e+05	2.9291632e+02	1.2895318e+00
9.39685e-06    	(3.2508541e+01 -4.6685237e-01 -2.7224838e+01)	1.0866088e+05	2.9290740e+02	1.2894443e+00
9.49687e-06    	(3.2632731e+01 -4.7212964e-01 -2.7328463e+01)	1.0865031e+05	2.9289854e+02	1.2893576e+00
9.5969e-06     	(3.2755937e+01 -4.7749479e-01 -2.7431225e+01)	1.0863981e+05	2.9288974e+02	1.2892715e+00
9.69692e-06    	(3.2878322e+01 -4.8294903e-01 -2.7533273e+01)	1.0862938e+05	2.9288099e+02	1.2891859e+00
9.79695e-06    	(3.3000033e+01 -4.8846750e-01 -2.7634715e+01)	1.0861900e+05	2.9287229e+02	1.2891008e+00
9.89697e-06    	(3.3121096e+01 -4.9405943e-01 -2.7735601e+01)	1.0860866e+05	2.9286362e+02	1.2890161e+00
9.997e-06      	(3.3241588e+01 -4.9970912e-01 -2.7836039e+01)	1.0859838e+05	2.9285498e+02	1.2889318e+00
1.0097e-05     	(3.3361516e+01 -5.0539839e-01 -2.7936048e+01)	1.0858813e+05	2.9284638e+02	1.2888479e+00
1.01971e-05    	(3.3480897e+01 -5.1110318e-01 -2.8035655e+01)	1.0857792e+05	2.9283780e+02	1.2887642e+00
1.02971e-05    	(3.3599782e+01 -5.1680461e-01 -2.8134934e+01)	1.0856775e+05	2.9282925e+02	1.2886809e+00
1.03971e-05    	(3.3718143e+01 -5.2247316e-01 -2.8233874e+01)	1.0855761e+05	2.9282073e+02	1.2885978e+00
1.04971e-05    	(3.3836006e+01 -5.2808196e-01 -2.8332504e+01)	1.0854751e+05	2.9281224e+02	1.2885151e+00
1.05972e-05    	(3.3953361e+01 -5.3361252e-01 -2.8430820e+01)	1.0853744e+05	2.9280377e+02	1.2884326e+00
1.06972e-05    	(3.4070194e+01 -5.3906913e-01 -2.8528810e+01)	1.0852741e+05	2.9279533e+02	1.2883505e+00
1.07972e-05    	(3.4186457e+01 -5.4447580e-01 -2.8626442e+01)	1.0851742e+05	2.9278692e+02	1.2882687e+00
1.08972e-05    	(3.4302119e+01 -5.4983258e-01 -2.8723694e+01)	1.0850748e+05	2.9277855e+02	1.2881872e+00
1.09973e-05    	(3.4417152e+01 -5.5511135e-01 -2.8820539e+01)	1.0849758e+05	2.9277022e+02	1.2881062e+00
1.10973e-05    	(3.4531582e+01 -5.6029063e-01 -2.8916889e+01)	1.0848774e+05	2.9276192e+02	1.2880257e+00
1.11973e-05    	(3.4645297e+01 -5.6536520e-01 -2.9012657e+01)	1.0847796e+05	2.9275367e+02	1.2879456e+00
1.12973e-05    	(3.4758172e+01 -5.7032599e-01 -2.9107770e+01)	1.0846825e+05	2.9274548e+02	1.2878662e+00
1.13974e-05    	(3.4870137e+01 -5.7513461e-01 -2.9202199e+01)	1.0845862e+05	2.9273735e+02	1.2877875e+00
1.14974e-05    	(3.4981108e+01 -5.7976164e-01 -2.9295892e+01)	1.0844907e+05	2.9272928e+02	1.2877094e+00
1.15974e-05    	(3.5091001e+01 -5.8421140e-01 -2.9388777e+01)	1.0843962e+05	2.9272128e+02	1.2876322e+00
