# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
1.94854e-06    	N/A	9.3818072e-05	6.7957940e-04	9.5838164e-05	2.9634598e-04	1.5114041e-03	N/A
1.98527e-06    	N/A	9.2472342e-05	6.7809528e-04	9.4347634e-05	2.4101674e-04	1.4816548e-03	N/A
2.02199e-06    	N/A	9.1229111e-05	6.7760246e-04	9.3063397e-05	2.3905854e-04	1.4540221e-03	N/A
2.05871e-06    	N/A	9.0067089e-05	6.7918660e-04	9.1852234e-05	2.2699886e-04	1.4268945e-03	N/A
2.09544e-06    	N/A	8.9218380e-05	6.8808814e-04	9.1100648e-05	3.1527702e-04	1.4018274e-03	N/A
2.13216e-06    	N/A	8.7900767e-05	6.8489039e-04	8.9771259e-05	2.7182210e-04	1.3758302e-03	N/A
2.16889e-06    	N/A	8.6566745e-05	6.8408481e-04	8.8579005e-05	2.5610044e-04	1.3514248e-03	N/A
2.20561e-06    	N/A	8.5079769e-05	6.8213919e-04	8.7121797e-05	2.3619264e-04	1.3277616e-03	N/A
2.24233e-06    	N/A	8.3692917e-05	6.8127757e-04	8.5880010e-05	2.0967289e-04	1.3047517e-03	N/A
2.27906e-06    	N/A	8.2497018e-05	6.8052597e-04	8.4804367e-05	1.9498722e-04	1.2827396e-03	N/A
2.31578e-06    	N/A	8.1595454e-05	6.8295686e-04	8.3991917e-05	1.9165870e-04	1.2617541e-03	N/A
2.35251e-06    	N/A	8.0916001e-05	6.8567046e-04	8.3066683e-05	1.9788383e-04	1.2414315e-03	N/A
2.38923e-06    	N/A	8.0428068e-05	6.8921567e-04	8.2433619e-05	2.0175325e-04	1.2218239e-03	N/A
2.42596e-06    	N/A	8.0236383e-05	6.9207560e-04	8.2133305e-05	2.0394417e-04	1.2027056e-03	N/A
2.46268e-06    	N/A	7.9784513e-05	6.9563736e-04	8.1499694e-05	1.9255216e-04	1.1838046e-03	N/A
2.4994e-06     	N/A	7.9467096e-05	6.9831681e-04	8.0957703e-05	1.9181904e-04	1.1657375e-03	N/A
2.53613e-06    	N/A	7.9114267e-05	7.0065045e-04	8.0456150e-05	1.9203620e-04	1.1482629e-03	N/A
2.57285e-06    	N/A	7.8871701e-05	7.0339478e-04	7.9991602e-05	2.4444166e-04	1.1312897e-03	N/A
2.60958e-06    	N/A	7.9163845e-05	7.2923016e-04	8.0406463e-05	5.5415868e-04	1.1148760e-03	N/A
