# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.0880157      	(2.8036700e+00 -1.8130154e-01 -2.5344410e+00)	1.9996825e+05	2.9398667e+02	2.3642679e+00
0.0880161      	(3.1436331e+00 -1.6164712e-01 -2.9118953e+00)	1.9996326e+05	2.9398457e+02	2.3642258e+00
0.0880165      	(3.5445318e+00 -1.3046329e-01 -3.2915775e+00)	1.9995170e+05	2.9397971e+02	2.3641281e+00
0.0880169      	(3.9814828e+00 -5.3628727e-02 -3.6896928e+00)	1.9993483e+05	2.9397262e+02	2.3639856e+00
0.0880173      	(4.4527774e+00 2.4763449e-02 -4.1162194e+00)	1.9991379e+05	2.9396378e+02	2.3638079e+00
0.0880176      	(4.9502606e+00 9.3751373e-02 -4.5440087e+00)	1.9988953e+05	2.9395359e+02	2.3636030e+00
0.088018       	(5.4586211e+00 1.6856860e-01 -4.9716583e+00)	1.9986301e+05	2.9394244e+02	2.3633790e+00
0.0880184      	(5.9636626e+00 2.3493804e-01 -5.3893372e+00)	1.9983517e+05	2.9393073e+02	2.3631437e+00
0.0880188      	(6.4501764e+00 2.9938352e-01 -5.7881186e+00)	1.9980696e+05	2.9391887e+02	2.3629055e+00
0.0880192      	(6.9077169e+00 3.5976307e-01 -6.1615456e+00)	1.9977915e+05	2.9390717e+02	2.3626704e+00
0.0880195      	(7.3322270e+00 4.1569095e-01 -6.5056406e+00)	1.9975239e+05	2.9389592e+02	2.3624443e+00
0.0880199      	(7.7267815e+00 4.6771601e-01 -6.8184541e+00)	1.9972716e+05	2.9388530e+02	2.3622311e+00
0.0880203      	(8.0820936e+00 5.2015325e-01 -7.1132103e+00)	1.9970362e+05	2.9387540e+02	2.3620322e+00
0.0880207      	(8.4233632e+00 5.6940504e-01 -7.3745368e+00)	1.9968194e+05	2.9386628e+02	2.3618490e+00
0.0880211      	(8.7386462e+00 6.1665851e-01 -7.6180496e+00)	1.9966231e+05	2.9385802e+02	2.3616831e+00
0.0880214      	(9.0379586e+00 6.5716379e-01 -7.8465755e+00)	1.9964479e+05	2.9385064e+02	2.3615350e+00
0.0880218      	(9.3191315e+00 6.9439068e-01 -8.0541861e+00)	1.9962941e+05	2.9384417e+02	2.3614050e+00
0.0880222      	(9.5785512e+00 7.3034770e-01 -8.2453575e+00)	1.9961628e+05	2.9383863e+02	2.3612939e+00
0.0880226      	(9.8048869e+00 7.4936826e-01 -8.4303749e+00)	1.9960616e+05	2.9383437e+02	2.3612084e+00
0.088023       	(9.9998373e+00 7.5929835e-01 -8.5974907e+00)	1.9959955e+05	2.9383158e+02	2.3611525e+00
0.0880233      	(1.0173634e+01 7.6056083e-01 -8.7259691e+00)	1.9959722e+05	2.9383060e+02	2.3611327e+00
0.0880237      	(1.0283992e+01 7.3539960e-01 -8.8327948e+00)	1.9960002e+05	2.9383178e+02	2.3611564e+00
0.0880241      	(1.0363429e+01 6.8820242e-01 -8.8997593e+00)	1.9960782e+05	2.9383506e+02	2.3612224e+00
0.0880245      	(1.0405662e+01 5.9033745e-01 -8.9257848e+00)	1.9962058e+05	2.9384043e+02	2.3613302e+00
0.0880249      	(1.0376430e+01 5.0201413e-01 -8.8828835e+00)	1.9963883e+05	2.9384812e+02	2.3614845e+00
0.0880253      	(1.0279562e+01 3.9712367e-01 -8.7831481e+00)	1.9966223e+05	2.9385797e+02	2.3616823e+00
0.0880256      	(1.0091676e+01 3.3820651e-01 -8.6354482e+00)	1.9969015e+05	2.9386972e+02	2.3619183e+00
0.088026       	(9.8184397e+00 2.6283061e-01 -8.4316606e+00)	1.9972173e+05	2.9388301e+02	2.3621852e+00
0.0880264      	(9.4609138e+00 2.0914608e-01 -8.1639604e+00)	1.9975522e+05	2.9389711e+02	2.3624683e+00
0.0880268      	(9.0239971e+00 1.4879899e-01 -7.8519695e+00)	1.9978824e+05	2.9391100e+02	2.3627473e+00
0.0880272      	(8.5620529e+00 1.2584578e-01 -7.4678032e+00)	1.9981812e+05	2.9392357e+02	2.3629998e+00
0.0880275      	(8.0710899e+00 1.0114885e-01 -7.0480860e+00)	1.9984231e+05	2.9393374e+02	2.3632041e+00
0.0880279      	(7.5731670e+00 7.5974782e-02 -6.6286279e+00)	1.9985886e+05	2.9394070e+02	2.3633440e+00
0.0880283      	(7.0716335e+00 5.1984235e-02 -6.2034787e+00)	1.9986729e+05	2.9394424e+02	2.3634152e+00
0.0880287      	(6.5708109e+00 5.0092181e-02 -5.7814976e+00)	1.9986861e+05	2.9394479e+02	2.3634263e+00
0.0880291      	(6.1378439e+00 4.9994366e-02 -5.3365620e+00)	1.9986418e+05	2.9394293e+02	2.3633888e+00
0.0880294      	(5.7234678e+00 3.5216064e-02 -4.9179929e+00)	1.9985545e+05	2.9393925e+02	2.3633150e+00
0.0880298      	(5.3537898e+00 -1.2756205e-02 -4.4939555e+00)	1.9984399e+05	2.9393443e+02	2.3632182e+00
0.0880302      	(5.0054762e+00 -6.6513248e-02 -4.1172756e+00)	1.9983129e+05	2.9392909e+02	2.3631108e+00
0.0880306      	(4.6727787e+00 -1.3708940e-01 -3.8097682e+00)	1.9981837e+05	2.9392364e+02	2.3630016e+00
0.088031       	(4.3755355e+00 -2.1811355e-01 -3.5496720e+00)	1.9980594e+05	2.9391841e+02	2.3628965e+00
0.0880313      	(4.1161297e+00 -3.0111894e-01 -3.3192349e+00)	1.9979462e+05	2.9391365e+02	2.3628009e+00
