# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
1.78758e-05    	(2.6174231e+01 -1.8391995e-02 -2.2359372e+01)	1.0925295e+05	2.9336675e+02	1.2944499e+00
1.83099e-05    	(2.6569028e+01 -1.8719079e-02 -2.2696448e+01)	1.0923013e+05	2.9334776e+02	1.2942633e+00
1.8744e-05     	(2.6965377e+01 -1.8995297e-02 -2.3035128e+01)	1.0920685e+05	2.9332840e+02	1.2940728e+00
1.91782e-05    	(2.7365058e+01 -1.9160970e-02 -2.3376595e+01)	1.0918298e+05	2.9330859e+02	1.2938773e+00
1.96123e-05    	(2.7768373e+01 -1.9537602e-02 -2.3720726e+01)	1.0915850e+05	2.9328831e+02	1.2936767e+00
2.00464e-05    	(2.8174237e+01 -1.9924401e-02 -2.4067300e+01)	1.0913347e+05	2.9326760e+02	1.2934713e+00
2.04806e-05    	(2.8583626e+01 -2.0207597e-02 -2.4416622e+01)	1.0910781e+05	2.9324641e+02	1.2932606e+00
2.09147e-05    	(2.8994968e+01 -2.0448740e-02 -2.4767747e+01)	1.0908161e+05	2.9322480e+02	1.2930453e+00
2.13488e-05    	(2.9407404e+01 -2.0647550e-02 -2.5119882e+01)	1.0905493e+05	2.9320281e+02	1.2928259e+00
2.17829e-05    	(2.9820003e+01 -2.0754171e-02 -2.5472040e+01)	1.0902782e+05	2.9318050e+02	1.2926029e+00
2.22171e-05    	(3.0232219e+01 -2.0720211e-02 -2.5823701e+01)	1.0900034e+05	2.9315789e+02	1.2923767e+00
2.26512e-05    	(3.0643991e+01 -2.0628373e-02 -2.6174722e+01)	1.0897248e+05	2.9313498e+02	1.2921472e+00
2.30853e-05    	(3.1053913e+01 -2.0513790e-02 -2.6524139e+01)	1.0894434e+05	2.9311186e+02	1.2919154e+00
2.35194e-05    	(3.1461717e+01 -2.0455986e-02 -2.6871643e+01)	1.0891595e+05	2.9308855e+02	1.2916815e+00
2.39536e-05    	(3.1866675e+01 -2.0401728e-02 -2.7216491e+01)	1.0888738e+05	2.9306508e+02	1.2914459e+00
2.43877e-05    	(3.2268843e+01 -2.0435598e-02 -2.7559056e+01)	1.0885860e+05	2.9304146e+02	1.2912086e+00
2.48218e-05    	(3.2668517e+01 -2.0598970e-02 -2.7899572e+01)	1.0882961e+05	2.9301766e+02	1.2909695e+00
2.52559e-05    	(3.3065239e+01 -2.0797507e-02 -2.8237648e+01)	1.0880044e+05	2.9299373e+02	1.2907288e+00
2.56901e-05    	(3.3460548e+01 -2.1232626e-02 -2.8574489e+01)	1.0877097e+05	2.9296956e+02	1.2904857e+00
2.61242e-05    	(3.3854690e+01 -2.1732390e-02 -2.8910241e+01)	1.0874120e+05	2.9294515e+02	1.2902398e+00
2.65583e-05    	(3.4247791e+01 -2.2412441e-02 -2.9245252e+01)	1.0871111e+05	2.9292049e+02	1.2899913e+00
2.69925e-05    	(3.4639717e+01 -2.3245115e-02 -2.9579326e+01)	1.0868071e+05	2.9289559e+02	1.2897401e+00
2.74266e-05    	(3.5030556e+01 -2.4226212e-02 -2.9912644e+01)	1.0865002e+05	2.9287046e+02	1.2894864e+00
2.78607e-05    	(3.5420476e+01 -2.5258910e-02 -3.0245446e+01)	1.0861900e+05	2.9284507e+02	1.2892299e+00
2.82948e-05    	(3.5809132e+01 -2.6370965e-02 -3.0577541e+01)	1.0858769e+05	2.9281946e+02	1.2889710e+00
2.8729e-05     	(3.6196119e+01 -2.7574695e-02 -3.0908350e+01)	1.0855616e+05	2.9279366e+02	1.2887100e+00
