# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721138e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
1.5194e-05     	(2.7258337e+01 -9.8611116e-02 -2.3204940e+01)	1.0913711e+05	2.9323469e+02	1.2936570e+00
1.55155e-05    	(2.7472304e+01 -9.9449946e-02 -2.3386646e+01)	1.0912487e+05	2.9322308e+02	1.2935630e+00
1.58368e-05    	(2.7686314e+01 -9.9044661e-02 -2.3568445e+01)	1.0911249e+05	2.9321137e+02	1.2934679e+00
1.61578e-05    	(2.7903514e+01 -9.7717112e-02 -2.3753225e+01)	1.0909971e+05	2.9319936e+02	1.2933693e+00
1.64787e-05    	(2.8124896e+01 -9.5404487e-02 -2.3941837e+01)	1.0908643e+05	2.9318695e+02	1.2932665e+00
1.67993e-05    	(2.8352091e+01 -9.2408741e-02 -2.4135670e+01)	1.0907249e+05	2.9317405e+02	1.2931581e+00
1.71197e-05    	(2.8585943e+01 -8.8948952e-02 -2.4335297e+01)	1.0905783e+05	2.9316058e+02	1.2930436e+00
1.74399e-05    	(2.8826416e+01 -8.5429512e-02 -2.4540725e+01)	1.0904242e+05	2.9314654e+02	1.2929227e+00
1.77599e-05    	(2.9072398e+01 -8.1918440e-02 -2.4750944e+01)	1.0902636e+05	2.9313200e+02	1.2927962e+00
1.80798e-05    	(2.9322439e+01 -7.8449216e-02 -2.4964584e+01)	1.0900974e+05	2.9311703e+02	1.2926651e+00
1.83994e-05    	(2.9574715e+01 -7.5022304e-02 -2.5179954e+01)	1.0899274e+05	2.9310176e+02	1.2925306e+00
1.87189e-05    	(2.9827413e+01 -7.1944977e-02 -2.5395453e+01)	1.0897550e+05	2.9308631e+02	1.2923941e+00
1.90381e-05    	(3.0078082e+01 -6.9306503e-02 -2.5609031e+01)	1.0895822e+05	2.9307083e+02	1.2922573e+00
1.93572e-05    	(3.0325128e+01 -6.7095048e-02 -2.5819339e+01)	1.0894107e+05	2.9305545e+02	1.2921216e+00
1.9676e-05     	(3.0567575e+01 -6.5254877e-02 -2.6025666e+01)	1.0892415e+05	2.9304024e+02	1.2919877e+00
1.99946e-05    	(3.0804979e+01 -6.3831410e-02 -2.6227672e+01)	1.0890751e+05	2.9302525e+02	1.2918563e+00
2.0313e-05     	(3.1037306e+01 -6.2743172e-02 -2.6425348e+01)	1.0889119e+05	2.9301050e+02	1.2917275e+00
2.06311e-05    	(3.1265294e+01 -6.2010510e-02 -2.6619312e+01)	1.0887514e+05	2.9299597e+02	1.2916010e+00
2.09489e-05    	(3.1489527e+01 -6.1738888e-02 -2.6810050e+01)	1.0885935e+05	2.9298163e+02	1.2914767e+00
2.12665e-05    	(3.1711444e+01 -6.1775680e-02 -2.6998962e+01)	1.0884368e+05	2.9296740e+02	1.2913534e+00
2.15838e-05    	(3.1932144e+01 -6.2113275e-02 -2.7187054e+01)	1.0882805e+05	2.9295319e+02	1.2912304e+00
2.19008e-05    	(3.2153114e+01 -6.2685307e-02 -2.7375498e+01)	1.0881233e+05	2.9293892e+02	1.2911066e+00
2.22176e-05    	(3.2375759e+01 -6.3376740e-02 -2.7565490e+01)	1.0879639e+05	2.9292448e+02	1.2909811e+00
2.2534e-05     	(3.2601095e+01 -6.4116830e-02 -2.7757981e+01)	1.0878014e+05	2.9290980e+02	1.2908528e+00
2.28501e-05    	(3.2829827e+01 -6.4864615e-02 -2.7953553e+01)	1.0876348e+05	2.9289481e+02	1.2907210e+00
2.31659e-05    	(3.3062048e+01 -6.5697301e-02 -2.8152149e+01)	1.0874639e+05	2.9287949e+02	1.2905856e+00
2.34813e-05    	(3.3298544e+01 -6.6652938e-02 -2.8354276e+01)	1.0872880e+05	2.9286378e+02	1.2904459e+00
2.37964e-05    	(3.3539561e+01 -6.7743822e-02 -2.8560148e+01)	1.0871065e+05	2.9284764e+02	1.2903015e+00
2.41112e-05    	(3.3784908e+01 -6.8899749e-02 -2.8769532e+01)	1.0869194e+05	2.9283107e+02	1.2901522e+00
2.44256e-05    	(3.4033852e+01 -7.0061480e-02 -2.8981723e+01)	1.0867272e+05	2.9281411e+02	1.2899987e+00
2.47398e-05    	(3.4285370e+01 -7.1176005e-02 -2.9195876e+01)	1.0865306e+05	2.9279681e+02	1.2898414e+00
2.50535e-05    	(3.4538404e+01 -7.2229427e-02 -2.9411205e+01)	1.0863306e+05	2.9277925e+02	1.2896811e+00
2.5367e-05     	(3.4791882e+01 -7.3178090e-02 -2.9626887e+01)	1.0861279e+05	2.9276148e+02	1.2895185e+00
2.56801e-05    	(3.5044658e+01 -7.4084825e-02 -2.9841893e+01)	1.0859237e+05	2.9274359e+02	1.2893547e+00
2.5993e-05     	(3.5295548e+01 -7.4945926e-02 -3.0055196e+01)	1.0857192e+05	2.9272568e+02	1.2891905e+00
2.63055e-05    	(3.5543740e+01 -7.5732592e-02 -3.0266116e+01)	1.0855152e+05	2.9270780e+02	1.2890268e+00
2.66177e-05    	(3.5788127e+01 -7.6399609e-02 -3.0473739e+01)	1.0853127e+05	2.9269005e+02	1.2888644e+00
2.69297e-05    	(3.6027628e+01 -7.6996913e-02 -3.0677108e+01)	1.0851131e+05	2.9267251e+02	1.2887043e+00
2.72414e-05    	(3.6261374e+01 -7.7528054e-02 -3.0875483e+01)	1.0849174e+05	2.9265527e+02	1.2885475e+00
2.75529e-05    	(3.6488456e+01 -7.8066214e-02 -3.1068205e+01)	1.0847265e+05	2.9263840e+02	1.2883948e+00
2.78641e-05    	(3.6708271e+01 -7.8511211e-02 -3.1254863e+01)	1.0845412e+05	2.9262197e+02	1.2882468e+00
2.81751e-05    	(3.6920432e+01 -7.8936440e-02 -3.1435151e+01)	1.0843621e+05	2.9260601e+02	1.2881041e+00
2.84858e-05    	(3.7124574e+01 -7.9336084e-02 -3.1608751e+01)	1.0841898e+05	2.9259059e+02	1.2879671e+00
2.87963e-05    	(3.7320726e+01 -7.9710524e-02 -3.1775691e+01)	1.0840245e+05	2.9257570e+02	1.2878361e+00
2.91067e-05    	(3.7508895e+01 -8.0067771e-02 -3.1935916e+01)	1.0838664e+05	2.9256136e+02	1.2877111e+00
2.94168e-05    	(3.7689224e+01 -8.0475008e-02 -3.2089491e+01)	1.0837156e+05	2.9254760e+02	1.2875924e+00
2.97267e-05    	(3.7862264e+01 -8.0839921e-02 -3.2236848e+01)	1.0835717e+05	2.9253436e+02	1.2874794e+00
3.00365e-05    	(3.8029103e+01 -8.1174248e-02 -3.2378838e+01)	1.0834336e+05	2.9252158e+02	1.2873715e+00
3.0346e-05     	(3.8190383e+01 -8.1501019e-02 -3.2516074e+01)	1.0833008e+05	2.9250920e+02	1.2872679e+00
3.06554e-05    	(3.8346885e+01 -8.1837650e-02 -3.2649322e+01)	1.0831723e+05	2.9249717e+02	1.2871681e+00
3.09646e-05    	(3.8499600e+01 -8.2182305e-02 -3.2779441e+01)	1.0830472e+05	2.9248539e+02	1.2870712e+00
3.12736e-05    	(3.8649368e+01 -8.2573992e-02 -3.2907092e+01)	1.0829247e+05	2.9247381e+02	1.2869764e+00
3.15825e-05    	(3.8796799e+01 -8.3001314e-02 -3.3032773e+01)	1.0828040e+05	2.9246239e+02	1.2868832e+00
3.18911e-05    	(3.8942248e+01 -8.3444496e-02 -3.3156778e+01)	1.0826849e+05	2.9245107e+02	1.2867912e+00
3.21996e-05    	(3.9085920e+01 -8.3891395e-02 -3.3279264e+01)	1.0825670e+05	2.9243986e+02	1.2867004e+00
3.2508e-05     	(3.9227729e+01 -8.4349668e-02 -3.3400157e+01)	1.0824504e+05	2.9242874e+02	1.2866106e+00
3.28161e-05    	(3.9367281e+01 -8.4813307e-02 -3.3519188e+01)	1.0823355e+05	2.9241776e+02	1.2865221e+00
3.31241e-05    	(3.9504209e+01 -8.5359071e-02 -3.3636024e+01)	1.0822225e+05	2.9240692e+02	1.2864354e+00
3.34319e-05    	(3.9637446e+01 -8.5967752e-02 -3.3749747e+01)	1.0821125e+05	2.9239632e+02	1.2863512e+00
3.37396e-05    	(3.9765449e+01 -8.6676401e-02 -3.3859068e+01)	1.0820072e+05	2.9238608e+02	1.2862709e+00
3.40471e-05    	(3.9887073e+01 -8.7456512e-02 -3.3962991e+01)	1.0819077e+05	2.9237629e+02	1.2861956e+00
3.43545e-05    	(4.0000725e+01 -8.8310133e-02 -3.4060203e+01)	1.0818159e+05	2.9236709e+02	1.2861268e+00
