# Region type : patch inlet
# Faces  :     351
# Area   :     1.5480301e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0              	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	1.1000000e+05	2.9400000e+02	1.3004948e+00
5.01139e-07    	(1.7910023e+01 -3.0786902e-01 -1.5203340e+01)	1.0957265e+05	2.9366970e+02	1.2968988e+00
9.24638e-07    	(1.7576919e+01 -3.2410885e-01 -1.4866254e+01)	1.0960751e+05	2.9369352e+02	1.2972065e+00
1.34814e-06    	(1.7312677e+01 -2.8865132e-01 -1.4613938e+01)	1.0962537e+05	2.9370429e+02	1.2973704e+00
1.77163e-06    	(1.7089865e+01 -2.6198182e-01 -1.4430044e+01)	1.0963868e+05	2.9371157e+02	1.2974957e+00
2.19513e-06    	(1.6796576e+01 -2.2254379e-01 -1.4172701e+01)	1.0965466e+05	2.9372089e+02	1.2976436e+00
2.61863e-06    	(1.6611578e+01 -2.1394468e-01 -1.4008096e+01)	1.0966535e+05	2.9372616e+02	1.2977468e+00
3.04213e-06    	(1.6455367e+01 -2.1495077e-01 -1.3885992e+01)	1.0967454e+05	2.9373028e+02	1.2978373e+00
3.46563e-06    	(1.6260781e+01 -1.9865179e-01 -1.3733149e+01)	1.0968547e+05	2.9373574e+02	1.2979426e+00
3.88913e-06    	(1.6149047e+01 -1.9011934e-01 -1.3647321e+01)	1.0969298e+05	2.9373858e+02	1.2980189e+00
4.31263e-06    	(1.6129655e+01 -1.8691193e-01 -1.3637430e+01)	1.0969673e+05	2.9373854e+02	1.2980634e+00
4.73612e-06    	(1.6132815e+01 -1.7959398e-01 -1.3641347e+01)	1.0969986e+05	2.9373802e+02	1.2981027e+00
5.15962e-06    	(1.6178408e+01 -1.7889504e-01 -1.3679680e+01)	1.0970158e+05	2.9373643e+02	1.2981301e+00
5.58312e-06    	(1.6291291e+01 -1.8442719e-01 -1.3774973e+01)	1.0970076e+05	2.9373290e+02	1.2981360e+00
6.00662e-06    	(1.6505546e+01 -1.9283579e-01 -1.3954970e+01)	1.0969585e+05	2.9372623e+02	1.2981074e+00
6.43012e-06    	(1.6843675e+01 -2.0262397e-01 -1.4241049e+01)	1.0968566e+05	2.9371553e+02	1.2980341e+00
6.85362e-06    	(1.7304948e+01 -2.0740260e-01 -1.4632752e+01)	1.0966960e+05	2.9370033e+02	1.2979111e+00
7.27712e-06    	(1.7875068e+01 -2.0924099e-01 -1.5115786e+01)	1.0964760e+05	2.9368059e+02	1.2977380e+00
7.70061e-06    	(1.8534734e+01 -2.1520704e-01 -1.5673708e+01)	1.0962005e+05	2.9365659e+02	1.2975178e+00
8.12411e-06    	(1.9263574e+01 -2.2255346e-01 -1.6289051e+01)	1.0958753e+05	2.9362878e+02	1.2972557e+00
8.54761e-06    	(2.0048151e+01 -2.3028724e-01 -1.6950353e+01)	1.0955048e+05	2.9359749e+02	1.2969552e+00
8.97111e-06    	(2.0871568e+01 -2.3819414e-01 -1.7643796e+01)	1.0950951e+05	2.9356319e+02	1.2966214e+00
9.39461e-06    	(2.1711960e+01 -2.4635850e-01 -1.8352016e+01)	1.0946556e+05	2.9352660e+02	1.2962624e+00
9.81811e-06    	(2.2554507e+01 -2.5702217e-01 -1.9062633e+01)	1.0941947e+05	2.9348834e+02	1.2958852e+00
1.02416e-05    	(2.3389969e+01 -2.7294591e-01 -1.9768119e+01)	1.0937184e+05	2.9344890e+02	1.2954950e+00
1.06651e-05    	(2.4205805e+01 -2.9540862e-01 -2.0458737e+01)	1.0932357e+05	2.9340895e+02	1.2950992e+00
1.10886e-05    	(2.4986286e+01 -3.2358041e-01 -2.1120291e+01)	1.0927583e+05	2.9336939e+02	1.2947078e+00
1.15121e-05    	(2.5716976e+01 -3.5425240e-01 -2.1739216e+01)	1.0922983e+05	2.9333116e+02	1.2943311e+00
1.19356e-05    	(2.6385995e+01 -3.8456453e-01 -2.2304558e+01)	1.0918673e+05	2.9329514e+02	1.2939788e+00
1.23591e-05    	(2.6986693e+01 -4.1187840e-01 -2.2810837e+01)	1.0914737e+05	2.9326198e+02	1.2936582e+00
1.27826e-05    	(2.7517759e+01 -4.3514891e-01 -2.3258012e+01)	1.0911217e+05	2.9323201e+02	1.2933728e+00
1.32061e-05    	(2.7981384e+01 -4.5333766e-01 -2.3648650e+01)	1.0908129e+05	2.9320536e+02	1.2931239e+00
1.36296e-05    	(2.8384815e+01 -4.6679435e-01 -2.3988805e+01)	1.0905448e+05	2.9318183e+02	1.2929096e+00
1.40531e-05    	(2.8739601e+01 -4.7581665e-01 -2.4287907e+01)	1.0903113e+05	2.9316097e+02	1.2927245e+00
1.44766e-05    	(2.9058312e+01 -4.8104644e-01 -2.4556887e+01)	1.0901047e+05	2.9314217e+02	1.2925622e+00
1.49001e-05    	(2.9356804e+01 -4.8338612e-01 -2.4809087e+01)	1.0899142e+05	2.9312461e+02	1.2924135e+00
1.53236e-05    	(2.9649103e+01 -4.8283415e-01 -2.5056476e+01)	1.0897294e+05	2.9310749e+02	1.2922696e+00
1.57471e-05    	(2.9945319e+01 -4.7983005e-01 -2.5307651e+01)	1.0895417e+05	2.9309015e+02	1.2921234e+00
1.61706e-05    	(3.0252338e+01 -4.7402277e-01 -2.5568492e+01)	1.0893443e+05	2.9307207e+02	1.2919689e+00
